num_rules,average_rule_len,average_rule_usage,proportional_terminal_char,spam
59,7.20339,3.64407,0.632941,1
16,9,3.3125,0.743056,1
75,5.41333,3.53333,0.53202,1
268,5.39925,4.35448,0.378715,1
1,29,1,1,1
721,5.20111,4.93897,0.242667,1
21,6.95238,3.14286,0.691781,1
149,5.38926,4.87919,0.280199,1
270,5.6037,4.52222,0.371447,1
1,29,1,1,1
80,6.2875,3.925,0.534791,1
50,5.66,3.24,0.60424,1
274,5.13869,4.21168,0.375,1
864,5.10532,4.88079,0.239855,1
674,5.10237,4.81602,0.252108,1
36,6.5,3.38889,0.632479,1
36,6.66667,3.33333,0.65,1
1,11,1,1,1
86,5.97674,3.80233,0.531128,1
44,6.47727,3.56818,0.603509,1
6,11.6667,2.66667,0.857143,1
26,7.84615,3.42308,0.691176,1
60,5.85,3.4,0.589744,1
63,5.5873,3.38095,0.573864,1
1,46,1,1,1
133,5.93985,4.04511,0.487342,1
123,6.05691,4.03252,0.499329,1
572,6.43357,5.74825,0.261957,1
21,6.85714,3.09524,0.694444,1
1,39,1,1,1
56,5.89286,3.58929,0.560606,1
175,5.68571,4.26857,0.425126,1
1,33,1,1,1
24,7.04167,3.16667,0.692308,1
103,5.36893,3.86408,0.466546,1
226,5.15487,4.34956,0.350215,1
5,11,2.6,0.854545,1
48,5.70833,3.375,0.583942,1
114,5.32456,3.51754,0.527183,1
3,14.3333,2.33333,0.906977,1
1,33,1,1,1
382,4.36387,3.8534,0.346131,1
1,46,1,1,1
2,24,2,0.958333,1
129,5.34109,3.86047,0.464441,1
1,11,1,1,1
76,5.77632,3.69737,0.53303,1
2,23,2,0.956522,1
219,5.87671,4.48858,0.406371,1
274,5.12409,4.18248,0.378917,1
106,6.01887,3.89623,0.518809,1
70,5.77143,3.61429,0.54703,1
77,5.96104,3.71429,0.544662,1
62,6.29032,3.59677,0.587179,1
92,5.1413,3.45652,0.522199,1
147,5.10884,3.95238,0.422104,1
106,5.5,3.60377,0.526587,1
245,6.09796,3.82041,0.537483,1
144,5.68056,4.00694,0.47066,1
142,6.5,4.48592,0.463705,1
2,21,2.5,0.928571,1
21,6.47619,3.04762,0.683824,1
74,6.2027,3.55405,0.588235,1
124,6.07258,4.06452,0.495352,1
189,5.83598,4.53439,0.394379,1
63,5.57143,3.52381,0.547009,1
48,6.125,3.52083,0.588435,1
3,14.3333,2.33333,0.906977,1
63,5.5873,3.49206,0.553977,1
334,5.1497,4.47305,0.325581,1
202,4.84653,3.83663,0.414709,1
107,6.51402,4.19626,0.509326,1
84,6.07143,3.66667,0.560784,1
126,5.02381,3.77778,0.447077,1
166,5.60843,4.18675,0.431794,1
154,4.96104,3.67532,0.460733,1
245,4.99184,4.0898,0.38103,1
1,29,1,1,1
190,5.31579,3.90526,0.453465,1
88,5.67045,3.51136,0.557114,1
17,8.41176,3.29412,0.727273,1
451,5.16186,4.7694,0.269759,1
9,9.33333,2.88889,0.797619,1
169,6.04142,4.4497,0.428991,1
84,6.08333,3.70238,0.555773,1
47,7.17021,3.46809,0.655786,1
10,9.4,3,0.787234,1
78,6.37179,3.69231,0.577465,1
10,8.1,3.3,0.716049,1
553,4.71971,4.32188,0.296169,1
73,5.67123,3.61644,0.538647,1
79,6.1519,3.59494,0.578189,1
7,10.7143,2.85714,0.826667,1
131,5.50382,3.8626,0.479889,1
112,6.35714,4,0.52809,1
7,11.5714,2.85714,0.839506,1
68,6.61765,3.80882,0.575556,1
