num_rules,average_rule_len,average_rule_usage,std_rule_len,std_rule_usage,prop_term_char,prop_bigrams,prop_repeat_rule_bigrams,prop_repeat_bigrams,spam
53,5.41509,3.35849,21.892,1.326,0.436658,0.830189,0,0.0377358,1
18,7.61111,3.16667,22.4107,1.21335,0.657718,0.777778,0,0,1
197,5.92893,4.4467,53.8642,2.48824,0.300184,0.954315,0,0.0152284,1
313,5.14696,4.45687,53.3844,2.9838,0.189334,0.939297,0,0.00638978,1
127,5.52756,3.69291,37.5554,1.59236,0.378151,0.897638,0,0.015748,1
4,13.25,2.5,19.4856,1.32288,0.886792,0.75,0,0,1
4,12.75,2.5,18.6195,1.32288,0.865385,0.75,0,0,1
62,5.91935,3.56452,29.592,1.51998,0.453159,0.919355,0,0,1
267,4.89513,4.06367,41.7768,2.66544,0.203411,0.835206,0.00749064,0.0224719,1
363,5.12397,4.45455,55.501,2.78969,0.173689,0.889807,0,0.0110193,1
6,10.5,2.66667,19.0066,1.24722,0.84127,0.833333,0,0,1
2,18,2,16,1.41421,0.944444,0.5,0,0,1
4,13.25,2.5,18.349,1.32288,0.854545,0.5,0,0,1
39,6.33333,3.48718,25.7426,1.49137,0.5,0.846154,0,0.025641,1
6,10.3333,2.66667,18.6339,1.24722,0.83871,0.833333,0,0,1
169,5.43195,4.05325,39.6432,2.25782,0.28053,0.857988,0.00591716,0.0177515,1
2,18.5,2,16.5,1.41421,0.945946,0.5,0,0,1
331,4.94562,4.17825,50.54,3.17633,0.19697,0.885196,0.00302115,0.0181269,1
4,17.25,2.5,25.8396,1.32288,0.9,0.5,0,0,1
238,5.98319,4.63866,60.866,3.14557,0.259535,0.966387,0,0.012605,1
626,5.20607,4.89137,76.5934,4.045,0.121728,0.899361,0,0.00638978,1
249,5.19679,4.34137,47.4882,2.84329,0.207921,0.863454,0.00401606,0.0240964,1
50,5.56,3.4,21.9483,1.38564,0.413613,0.8,0,0.02,1
7,8.85714,2.71429,16.7965,1.22057,0.806452,0.857143,0,0,1
77,5.94805,3.72727,33.8457,1.8526,0.422487,0.922078,0.012987,0.025974,1
27,6.74074,3.37037,23.0034,1.73522,0.567308,0.814815,0,0,1
325,6.40923,4.22769,79.0885,2.40778,0.397387,0.984615,0,0.0307692,1
4,12.5,2.5,17.6139,1.32288,0.862745,0.5,0,0,1
189,6.41799,3.89418,60.5035,2.79728,0.425831,0.989418,0,0.026455,1
261,5.63602,4.46743,58.1332,2.97369,0.2553,0.969349,0,0.0114943,1
19,7.57895,3.15789,22.7326,1.2466,0.656051,0.789474,0,0,1
33,6.84848,3.30303,26.1964,1.43516,0.576923,0.848485,0,0,1
21,9.7619,3.47619,33.5983,1.74899,0.671053,0.761905,0.047619,0.047619,1
5,11.6,2.6,19.2,1.28062,0.847458,0.8,0,0,1
33,7.39394,3.51515,30.1601,1.71661,0.585455,0.909091,0,0.030303,1
91,5.89011,3.67033,35.6526,1.55877,0.448012,0.945055,0,0.021978,1
17,7.35294,2.94118,20.419,1.13607,0.686567,0.764706,0,0,1
225,5.01778,3.91556,42.4983,2.04873,0.215883,0.897778,0,0,1
107,6.03738,4.17757,41.4704,1.846,0.372716,0.981308,0,0,1
12,10.9167,3.33333,28.0875,1.43372,0.70068,0.75,0,0,1
169,5.82249,4.25444,48.3892,2.22288,0.324365,0.928994,0,0.0177515,1
55,5.50909,3.54545,24.8368,1.70899,0.434667,0.872727,0,0,1
213,5.79343,4.5446,55.0272,2.87112,0.261749,0.981221,0,0.00469484,1
232,4.99138,3.92241,42.7058,2.15819,0.213049,0.887931,0.012931,0.012931,1
188,5.95745,4.48404,53.898,2.78001,0.283191,0.978723,0,0.00531915,1
185,5.57297,4.3027,44.3621,2.43627,0.253623,0.897297,0,0.00540541,1
111,5.48649,3.75676,35.1406,1.70699,0.363745,0.90991,0,0.00900901,1
8,10,2.875,20.7906,1.26861,0.783133,0.75,0,0,1
23,6.17391,3.13043,17.5119,1.27873,0.550296,0.869565,0,0,1
26,7.88462,3.38462,28.4298,1.49556,0.627193,0.846154,0,0,1
34,7.26471,3.5,29.8962,1.71927,0.578571,0.911765,0,0.0588235,1
82,5.65854,3.59756,28.0171,1.53702,0.375749,0.865854,0,0.0243902,1
93,5.60215,3.76344,33.5108,1.95596,0.39521,0.913978,0,0.0215054,1
182,5.71978,4.37363,49.3767,2.64429,0.273193,0.961538,0.00549451,0.0164835,1
146,5.82192,4.14384,45.2754,2.20208,0.332766,0.938356,0,0.00684932,1
32,6.90625,3.34375,25.5298,1.36036,0.570312,0.78125,0,0.0625,1
82,5.86585,3.76829,33.574,1.65499,0.416393,0.902439,0,0.0121951,1
242,6.41736,3.96281,68.1895,2.09551,0.444208,0.971074,0,0.0206612,1
190,5.80526,4.4,52.023,2.52732,0.280368,0.973684,0,0.0105263,1
31,8.58065,3.45161,34.956,1.76596,0.637584,0.903226,0.0322581,0.0322581,1
205,5.58049,4.26341,48.7646,2.49368,0.275203,0.902439,0,0.0097561,1
137,5.62044,3.88321,41.1949,1.99841,0.367287,0.948905,0,0.00729927,1
435,4.31724,3.94023,37.9265,2.35252,0.059906,0.77931,0.00689655,0.0114943,1
89,5.47191,3.5618,30.5559,1.4414,0.403427,0.898876,0,0,1
182,5.8956,3.67582,49.4442,1.74449,0.357317,0.912088,0,0.0274725,1
58,6.01724,3.41379,30.0652,1.30032,0.529114,0.948276,0,0,1
160,5.20625,3.9625,36.482,2.13274,0.256246,0.85625,0,0.01875,1
222,5.00901,3.95045,41.3743,2.11862,0.206227,0.86036,0.0045045,0.00900901,1
41,7,3.39024,30.5199,1.43778,0.590625,0.853659,0,0.0243902,1
485,5.26392,4.84124,68.5356,3.66026,0.14393,0.903093,0,0.00412371,1
60,5.75,3.31667,24.6756,1.33531,0.455752,0.716667,0,0.0166667,1
45,6.55556,3.55556,29.0146,1.46144,0.509915,0.8,0,0,1
13,9.92308,3.38462,26.025,1.52106,0.680556,0.769231,0,0,1
1,33,1,0,1,1,0,0,0,1
105,6.04762,3.88571,40.788,1.86606,0.393832,0.942857,0.047619,0.0571429,1
223,5.08072,3.96413,41.5486,2.00304,0.209127,0.856502,0.0044843,0.0044843,1
137,6.05839,4.12409,46.815,2.12371,0.368807,0.963504,0,0,1
161,5.50932,4.03727,42.812,2.16519,0.319166,0.919255,0,0.00621118,1
344,5.18605,4.43023,54.0998,3.15506,0.184427,0.854651,0,0.00872093,1
95,5.45263,3.67368,25.9837,1.68549,0.27673,0.768421,0,0,1
